time,deviceName,location,object_hAcc,object_sat
2023-01-08 20:24:10.938898148+00:00,A0013,43.2512389::-7.3385966,6,5
2023-01-08 20:33:34.503958387+00:00,A0013,43.251225::-7.3386197,5,5
2023-01-08 20:50:14.338287388+00:00,A0013,43.2511966::-7.3385872,4,6
2023-01-09 07:54:05.395721964+00:00,A0013,43.2511009::-7.3383603,5,6
2023-01-09 10:43:52.903604192+00:00,A0013,43.2546133::-7.3443699,11,9
2023-01-09 10:59:06.554336010+00:00,A0013,43.2548502::-7.3444169,13,8
2023-01-09 11:14:18.476919380+00:00,A0013,43.2547939::-7.3443111,17,9
2023-01-09 11:29:39.354253159+00:00,A0013,43.2546097::-7.3441012,20,9
2023-01-09 11:52:31.460360031+00:00,A0013,43.254692::-7.3440466,10,8
2023-01-09 12:00:41.378160483+00:00,A0013,43.2546434::-7.344365,7,7
2023-01-09 12:21:53.943955299+00:00,A0013,43.2547035::-7.3442202,11,8
2023-01-09 12:39:35.846847533+00:00,A0013,43.2548636::-7.3444286,8,8
2023-01-09 12:55:05.578998126+00:00,A0013,43.2547563::-7.3444115,7,8
2023-01-09 14:44:53.055541941+00:00,A0013,43.2547354::-7.3439622,7,7
2023-01-09 15:00:32.910013789+00:00,A0013,43.2546698::-7.3440381,8,8
2023-01-09 15:15:52.755901624+00:00,A0013,43.254671::-7.344313,7,8
2023-01-09 15:38:43.957985831+00:00,A0013,43.2549455::-7.3443107,9,8
2023-01-09 15:54:22.020465260+00:00,A0013,43.2547518::-7.3440316,5,11
2023-01-09 16:13:16.930593198+00:00,A0013,43.2548539::-7.3440854,11,8
2023-01-09 16:59:29.950207861+00:00,A0013,43.2547953::-7.3440831,26,8
2023-01-09 18:05:52.001816252+00:00,A0013,43.2528156::-7.3442708,7,6
2023-01-09 18:18:25.369360906+00:00,A0013,43.2533279::-7.3405865,11,7
2023-01-09 18:27:05.831610994+00:00,A0013,43.2517746::-7.3381987,6,9
2023-01-09 18:38:00.861274787+00:00,A0013,43.2512463::-7.3384221,7,7
2023-01-09 18:50:50.990775265+00:00,A0013,43.2511389::-7.3383539,5,8
2023-01-09 20:44:22.931107216+00:00,A0013,43.2512997::-7.3386153,16,5
2023-01-09 20:54:43.837001498+00:00,A0013,43.2512368::-7.3386245,28,5
2023-01-09 21:03:51.883530026+00:00,A0013,43.2512062::-7.3385953,6,6
2023-01-09 21:12:59.187559561+00:00,A0013,43.2512365::-7.3385669,5,6
2023-01-09 21:21:58.898029557+00:00,A0013,43.2512604::-7.3385283,2,7
2023-01-10 00:45:43.353196952+00:00,A0013,43.2512071::-7.3385828,4,6
2023-01-10 01:01:23.311711004+00:00,A0013,43.2512262::-7.3385747,3,7
2023-01-10 10:46:53.833371871+00:00,A0013,43.2514282::-7.3383935,25,5
2023-01-10 10:55:54.831855503+00:00,A0013,43.2524077::-7.3392815,3,8
2023-01-10 11:18:59.900068172+00:00,A0013,43.253312::-7.3446778,13,8
2023-01-10 11:24:46.396519695+00:00,A0013,43.2549869::-7.3444538,9,8
2023-01-10 11:47:26.594445079+00:00,A0013,43.255138::-7.3444478,8,8
2023-01-10 11:55:36.275900485+00:00,A0013,43.2549427::-7.344469,4,7
2023-01-10 12:11:05.620129921+00:00,A0013,43.2551652::-7.3444844,4,8
2023-01-10 12:28:29.764161098+00:00,A0013,43.2551068::-7.3444069,12,8
2023-01-10 12:43:40.291809110+00:00,A0013,43.2548808::-7.3443526,8,8
2023-01-10 13:08:05.757893202+00:00,A0013,43.2549503::-7.3446292,6,9
2023-01-10 13:23:45.016903860+00:00,A0013,43.2550619::-7.3446214,4,8
2023-01-10 13:46:52.464058669+00:00,A0013,43.2549466::-7.3443645,4,7
2023-01-10 13:54:52.462078211+00:00,A0013,43.2551593::-7.3445843,5,9
2023-01-10 14:25:37.348361148+00:00,A0013,43.2550325::-7.3441975,17,9
2023-01-10 14:40:53.417574776+00:00,A0013,43.2547104::-7.3440249,39,8
2023-01-10 17:54:40.787134984+00:00,A0013,43.2530324::-7.345028,14,6
2023-01-10 18:22:48.117345693+00:00,A0013,43.2513922::-7.3383762,25,5
2023-01-10 18:31:13.906063797+00:00,A0013,43.2513578::-7.3384403,6,7
2023-01-10 18:42:05.215620450+00:00,A0013,43.2511466::-7.3383753,5,10
2023-01-10 20:05:36.837888014+00:00,A0013,43.2512665::-7.3385684,14,7
2023-01-10 20:30:12.987081353+00:00,A0013,43.2512428::-7.3382858,18,8
2023-01-10 20:41:52.164534664+00:00,A0013,43.2512678::-7.3385368,10,8
2023-01-10 20:53:08.733649359+00:00,A0013,43.2512579::-7.3384763,11,8
2023-01-10 21:04:24.936724081+00:00,A0013,43.2512284::-7.3385567,7,8
2023-01-10 21:35:35.028079607+00:00,A0013,43.2512716::-7.3384,7,7
2023-01-10 21:57:43.839723114+00:00,A0013,43.2512211::-7.3385261,4,7
2023-01-11 03:05:20.452601819+00:00,A0013,43.2513336::-7.3382677,33,4
2023-01-11 03:22:07.268874847+00:00,A0013,43.2512134::-7.338643,5,5
2023-01-11 03:48:30.533669872+00:00,A0013,43.2512657::-7.3383761,14,6
2023-01-11 08:41:47.672076407+00:00,A0013,43.2519416::-7.3397945,5,7
2023-01-11 09:04:35.814253190+00:00,A0013,43.2518373::-7.3398932,3,8
2023-01-11 09:12:20.425831549+00:00,A0013,43.2517169::-7.3399364,3,8
2023-01-11 09:27:53.544764084+00:00,A0013,43.2516135::-7.3397965,2,9
2023-01-11 09:43:05.353830314+00:00,A0013,43.2515848::-7.33974,7,9
2023-01-11 09:58:27.430720555+00:00,A0013,43.2515804::-7.3397208,9,9
2023-01-11 11:46:16.359138714+00:00,A0013,43.2518069::-7.3399687,8,7
2023-01-11 12:02:11.512953888+00:00,A0013,43.2519896::-7.3398707,4,9
2023-01-11 12:17:20.293026376+00:00,A0013,43.2518339::-7.3400222,33,8
2023-01-11 12:40:23.284070364+00:00,A0013,43.2519742::-7.339903,27,9
2023-01-11 13:03:21.838804562+00:00,A0013,43.2517409::-7.3396036,23,8
2023-01-11 13:18:41.206825632+00:00,A0013,43.2516099::-7.3395577,23,9
2023-01-11 13:33:57.898676634+00:00,A0013,43.2518023::-7.3399376,12,9
2023-01-11 13:47:43.158234509+00:00,A0013,43.2516977::-7.3400422,16,9
2023-01-11 14:08:06.025031165+00:00,A0013,43.2517085::-7.3401456,4,9
2023-01-11 15:16:44.843687563+00:00,A0013,43.2517239::-7.3398649,6,8
2023-01-11 15:31:56.901240734+00:00,A0013,43.2517498::-7.3397127,30,8
2023-01-11 15:47:35.025639115+00:00,A0013,43.2517207::-7.3398299,11,8
2023-01-11 17:30:49.234593313+00:00,A0013,43.2517438::-7.3397675,6,12
2023-01-11 17:45:55.012625085+00:00,A0013,43.2516801::-7.3396733,21,12
2023-01-11 18:26:22.218330936+00:00,A0013,43.2516147::-7.3387713,34,10
2023-01-11 20:47:29.170261718+00:00,A0013,43.251212::-7.3385941,8,5
2023-01-12 01:49:37.588100495+00:00,A0013,43.2512339::-7.3385926,17,4
2023-01-12 02:06:22.329767305+00:00,A0013,43.2512277::-7.338584,5,5
2023-01-12 02:22:43.489146873+00:00,A0013,43.251287::-7.3385223,4,6
2023-01-12 02:42:48.031100074+00:00,A0013,43.2512517::-7.3384336,3,6
2023-01-12 13:36:37.330850301+00:00,A0013,43.2512996::-7.3385538,33,6
2023-01-12 13:52:36.850688947+00:00,A0013,43.2511897::-7.3385822,10,7
2023-01-12 14:08:06.014644573+00:00,A0013,43.2511568::-7.3384165,11,8
2023-01-12 18:07:36.428559985+00:00,A0013,43.2511909::-7.3385764,5,6
2023-01-12 20:59:23.299530161+00:00,A0013,43.2512526::-7.3385235,7,5
2023-01-13 03:20:11.343620350+00:00,A0013,43.2512874::-7.3385455,9,5
2023-01-13 03:43:20.351181238+00:00,A0013,43.2512803::-7.3385435,3,6
2023-01-13 05:14:30.033015814+00:00,A0013,43.2512606::-7.3385998,6,7
2023-01-13 09:22:23.818344037+00:00,A0013,43.2512341::-7.3386372,10,6
